Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
2802379255,L,CTY,1,1,312,119435,198,56:00.0,6,15:00,435,435,435
2805870453,L,OB,1,1,315,138592,64,10:00.0,3,18:00,873,873,873
2806491100,L,OB,1,1,913,133481,56,22:00.0,7,5:00,875,875,875
2806534615,L,OB,1,1,871,133023,20,45:00.0,4,13:00,304,304,304
2806534624,L,OB,1,1,951,137171,12,58:00.0,3,13:00,819,819,819
2806534642,L,OB,1,2,1908,125712,44,34:00.0,3,14:00,216,216,216
2806534689,L,OB,1,1,569,130580,63,47:00.0,6,20:00,881,881,881
2806534698,L,OB,1,1,383,127079,62,09:00.0,6,16:00,881,881,881
2806534716,L,OB,1,1,902,136006,62,37:00.0,4,21:00,881,881,881
2806534734,L,OB,1,1,328,140184,65,19:00.0,6,7:00,873,873,873
2806534808,L,OB,1,1,756,136318,12,20:00.0,4,17:00,819,819,819
2808543399,L,OB,1,1,133,128398,44,02:00.0,5,17:00,216,216,216
2808543399,L,OB,1,1,133,128398,65,16:00.0,5,19:00,216,216,216
2808690972,L,OB,1,1,930,131094,20,46:00.0,3,14:00,304,304,304
2808691019,L,OB,1,1,795,R621153072,11,11:00.0,1,1:00,819,819,819
2808691046,L,OB,1,1,836,126033,24,13:00.0,2,6:00,232,211,211
2808691046,L,OB,1,1,836,126033,24,45:00.0,1,9:00,232,211,211
2808691055,L,OB,1,1,198,137467,44,43:00.0,1,8:00,216,216,216
2808691082,L,OB,1,1,302,123872,61,36:00.0,7,18:00,890,890,890
2808691091,L,OB,1,1,672,138428,61,14:00.0,6,21:00,890,890,890
2885216952,L,IB,1,2,402,124196,150,10:00.0,6,22:00,421,421,421
2900446775,L,OB,1,5,2620,125735,4,14:00.0,7,7:00,857,857,857
2902148154,L,CTY,1,1,100,136419,182,58:00.0,7,9:00,409,409,409
2902313484,L,CTY,1,1,120,125040,200,48:00.0,5,8:00,348,348,348
2902316234,L,CTY,1,1,2600,133671,222,24:00.0,6,4:00,422,422,422
2902331560,L,CTY,1,6,3025,121486,232,10:00.0,5,4:00,422,422,422
2902332368,L,OB,1,3,1624,125595,41,33:00.0,3,2:00,621,621,621
2902332422,L,OB,1,2,4934,130587,99,17:00.0,3,1:00,431,431,431
290233256X,L,CTY,1,4,9260,127819,171,04:00.0,6,0:00,462,462,462
2902332689,L,CTY,1,5,12500,290035,182,37:00.0,6,0:00,409,409,409
2902332698,L,CTY,1,8,3991,133819,218,06:00.0,7,0:00,422,422,422
2902332826,L,IB,1,5,11330,135378,158,44:00.0,5,6:00,462,462,462
2902332853,L,CTY,1,1,2476,136399,171,58:00.0,6,21:00,462,462,462
2902332862,L,CTY,1,1,2352,136399,171,59:00.0,6,21:00,462,462,462
2902332880,L,CTY,1,5,12101,290302,182,52:00.0,1,18:00,409,409,409
2902333019,L,CTY,1,1,2133,135016,182,53:00.0,3,3:00,409,409,409
2902333798,L,CTY,1,1,2222,127860,191,59:00.0,1,19:00,433,433,433
2902333816,L,CTY,1,2,5158,127860,191,55:00.0,1,19:00,433,433,433
2902333870,L,CTY,1,2,4444,133577,191,35:00.0,1,4:00,433,433,433
2902333944,L,CTY,1,2,5281,138987,171,53:00.0,3,1:00,462,462,462
2902333962,L,CTY,1,1,2477,138987,171,55:00.0,3,1:00,462,462,462
290233399X,L,CTY,1,4,7982,138802,225,13:00.0,2,1:00,422,422,422
2902334018,L,CTY,1,5,12401,128414,182,07:00.0,6,21:00,409,409,409
2902334036,L,OB,1,2,1026,138200,92,07:00.0,2,10:00,557,557,557
2902334063,L,CTY,1,1,2133,133371,182,31:00.0,3,21:00,409,409,409
2902344100,L,CTY,1,4,12300,126648,182,47:00.0,3,15:00,409,409,409
2902344367,L,CTY,1,4,12200,122357,180,09:00.0,1,7:00,409,409,409
2902344403,L,CTY,1,1,1165,139814,191,35:00.0,5,7:00,433,433,433
2926070882,L,IB,1,1,240,278516,159,41:00.0,3,13:00,728,423,423
2926103709,L,IB,1,3,1500,138108,155,52:00.0,6,0:00,754,754,754
2926593979,L,OB,1,3,2115,133808,97,02:00.0,3,18:00,522,431,431
2926593997,L,IB,1,4,1985,131109,157,57:00.0,7,18:00,423,423,423
2926805920,L,OB,1,2,4306,133057,82,13:00.0,6,14:00,555,555,555
2932733309,L,OB,1,1,339,131506,3,21:00.0,6,9:00,243,243,251
2932917907,L,OB,1,1,231,135882,27,41:00.0,2,20:00,389,326,326
2932918017,L,OB,1,1,410,140332,42,48:00.0,3,1:00,213,213,213
2932918026,L,OB,1,2,706,135145,15,01:00.0,3,4:00,223,857,857
2932918035,L,OB,1,1,262,138036,56,49:00.0,3,4:00,875,875,875
2932918044,L,OB,1,1,84,122795,66,19:00.0,3,6:00,112,153,153
2932918053,L,OB,1,1,502,TNUE66411,81,59:00.0,3,1:00,143,135,135
2932918071,L,OB,1,1,215,134999,60,16:00.0,3,13:00,610,881,881
2932918080,L,OB,1,2,1091,133944,59,18:00.0,3,2:00,830,830,830
293291809X,L,OB,1,1,207,133624,23,50:00.0,4,4:00,303,303,303
