Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org,UnloadDate,UnloadTime
3088330264,U,OB,1,2,1300,131841,74,"43,406.76",6,18:00,220,11/2/2018,18:09:00
3088334738,U,OB,1,1,283,128380,98,"43,417.90",3,21:00,220,11/13/2018,21:39:00
3088334810,U,OB,1,1,440,135217,76,"43,412.71",5,16:00,220,11/8/2018,16:57:00
3088343877,U,IB,1,1,615,130766,128,"43,405.43",5,10:00,220,11/1/2018,10:20:00
3088343904,U,IB,1,1,454,139444,122,"43,419.68",5,16:00,220,11/15/2018,16:14:00
3088344133,U,IB,1,1,750,133592,126,"43,401.37",1,8:00,220,10/28/2018,8:59:00
308834417X,U,OB,1,1,151,430295,72,"43,402.72",2,17:00,220,10/29/2018,17:22:00
3088348515,U,OB,1,1,1820,128380,98,"43,417.93",3,22:00,220,11/13/2018,22:23:00
3097062422,U,OB,1,3,1662,135383,60,"43,405.46",5,11:00,309,11/1/2018,11:01:00
312216844X,U,IB,1,1,79,125608,100,"43,396.39",3,9:00,312,10/23/2018,9:22:00
3122168569,U,IB,1,1,64,140405,126,"43,410.88",3,21:00,312,11/6/2018,21:14:00
3122168587,U,IB,1,2,125,137798,116,"43,411.33",4,7:00,312,11/7/2018,7:48:00
3122168650,U,IB,1,1,151,137778,157,"43,421.03",7,0:00,312,11/17/2018,0:41:00
3123257165,U,IB,1,1,1080,125747,155,"43,412.00",5,0:00,312,11/8/2018,0:06:00
3126239687,U,IB,1,2,448,134706,153,"43,421.77",7,18:00,312,11/17/2018,18:29:00
3133429737,U,CTY,1,1,57,124113,R   ,"43,398.81",5,19:00,313,10/25/2018,19:31:00
3133429737,U,OB,1,1,57,124113,72,"43,397.70",4,16:00,313,10/24/2018,16:46:00
3133453625,U,IB,1,8,2345,134266,116,"43,404.63",4,15:00,313,10/31/2018,15:13:00
3183203485,U,IB,1,1,150,211439,118,"43,397.18",4,4:00,356,10/24/2018,4:14:00
3183203586,U,OB,1,1,96,139612,78,"43,399.68",6,16:00,244,10/26/2018,16:21:00
3183673450,U,IB,1,1,1670,134462,102,"43,419.38",5,9:00,309,11/15/2018,9:10:00
3191106032,U,OB,1,4,15522,140433,98,"43,408.82",1,19:00,201,11/4/2018,19:34:00
3191186168,U,OB,1,1,1250,128428,89,"43,408.04",1,0:00,201,11/4/2018,0:59:00
3191222513,U,OB,1,2,1655,251726,62,"43,410.94",3,22:00,201,11/6/2018,22:29:00
3191222522,U,OB,1,3,1370,211185,77,"43,416.65",2,15:00,201,11/12/2018,15:36:00
3191222531,U,OB,1,2,1770,531065,69,"43,420.26",6,6:00,201,11/16/2018,6:17:00
3191232550,U,OB,1,2,2510,290562,75,"43,411.56",4,13:00,201,11/7/2018,13:28:00
323476873X,U,OB,1,9,4181,530433,89,"43,395.93",2,22:00,324,10/22/2018,22:25:00
3234768749,U,OB,1,3,1143,530433,89,"43,395.90",2,21:00,324,10/22/2018,21:32:00
3234768758,U,OB,1,1,490,530433,89,"43,395.87",2,20:00,324,10/22/2018,20:53:00
3234768767,U,IB,1,1,183,559246,129,"43,399.78",6,18:00,324,10/26/2018,18:44:00
3234768776,U,IB,1,1,311,559246,129,"43,399.79",6,18:00,324,10/26/2018,18:51:00
3234768785,U,IB,1,2,595,559246,129,"43,399.79",6,19:00,324,10/26/2018,19:03:00
3234768794,U,IB,1,2,705,558722,115,"43,404.00",3,23:00,324,10/30/2018,23:56:00
3234768803,U,IB,1,3,1294,559938,118,"43,417.11",3,2:00,324,11/13/2018,2:45:00
3234768812,U,IB,1,6,3105,559163,124,"43,420.86",6,20:00,324,11/16/2018,20:40:00
3240023807,U,IB,1,1,340,311126,112,"43,398.86",5,20:00,324,10/25/2018,20:36:00
3240045870,U,IB,1,4,457,530551,162,"43,402.51",2,12:00,324,10/29/2018,12:11:00
3240247033,U,IB,1,2,1710,531070,117,"43,418.34",4,8:00,324,11/14/2018,8:15:00
3240512600,U,IB,1,9,2240,821347,162,"43,395.82",2,19:00,324,10/22/2018,19:37:00
324051261X,U,IB,1,3,1572,820951,102,"43,396.78",3,18:00,324,10/23/2018,18:45:00
3240512647,U,IB,1,5,6975,821346,153,"43,402.82",2,19:00,324,10/29/2018,19:41:00
